Name,Crystal Structure,Diaphaneity,Specific Gravity,Optical,Refractive Index,Molar Mass,Molar Volume,Calculated Density
Abenakiite-(Ce),5.0,0.0,3.24,3.0,1.58,817.3390019999999,0.12338990999999998,5.497999999999999
Abernathyite,4.0,3.0,3.446,3.0,1.5919999999999999,435.06933,0.0560833,6.439
Abhurite,5.0,3.0,4.42,3.0,2.085,921.0922199999999,0.1226312,6.234
Abswurmbachite,0.0,0.0,0.0,0.0,0.0,550.0199,0.03365786,13.562999999999999
Actinolite,2.0,2.0,1.05,4.0,1.6340000000000001,861.1853679999999,0.1120738,6.377999999999999
Acuminite,2.0,3.0,3.295,4.0,1.4569999999999999,225.61815099999998,0.04488729,4.172
Adamite,3.0,0.0,4.4,4.0,1.742,270.70713,0.05602542,4.01
Adelite,0.0,0.0,0.0,0.0,0.0,251.283292,0.06726,3.1010000000000004
Admontite,2.0,0.0,0.0,4.0,1.473,407.63936,0.30261434,1.1179999999999999
Aegirine,2.0,1.0,3.55,4.0,1.776,154.920468,0.03363099,3.823
Aenigmatite,1.0,1.0,3.81,4.0,1.829,1110.587536,0.22418233,4.112
Aerinite,2.0,2.0,2.48,4.0,3.383,706.631179,0.12324157999999998,4.7589999999999995
Aerugite,5.0,1.0,5.9,0.0,0.0,331.22758,0.04482338,6.132999999999999
Afghanite,5.0,3.0,2.6,3.0,1.526,1839.8714670000002,0.22444096,6.803999999999999
Afwillite,2.0,2.0,2.63,4.0,1.624,2712.51136,0.627796,3.5860000000000003
Agrellite,1.0,2.0,2.88,4.0,1.5759999999999998,922.5598779999999,0.2466529,3.1039999999999996
Agrinierite,0.0,0.0,0.0,0.0,0.0,1497.1929000000002,0.12352829999999998,10.06
Ahlfeldite,2.0,0.0,0.0,0.0,0.0,221.68216,0.10084299,1.825
Ajoite,1.0,2.0,2.96,4.0,1.591,2011.923656,0.42597816,3.92
Akaganeite,2.0,2.0,3.52,0.0,0.0,214.16812000000002,0.08945818,1.9869999999999999
Akatoreite,0.0,0.0,0.0,0.0,0.0,674.0359490000001,0.22407114,2.497
Akdalaite,0.0,0.0,0.0,0.0,0.0,145.95015700000002,0.056023969999999985,2.162
Akermanite,4.0,2.0,2.944,3.0,1.636,196.3137,0.033647090000000004,4.843
Akhtenskite,5.0,1.0,4.78,3.0,0.0,70.93745,0.01120335,5.255
Akimotoite,5.0,3.0,3.81,0.0,0.0,68.3899,0.0112221,5.058
Akrochordite,2.0,2.0,0.0,0.0,0.0,373.7793400000001,0.044891150000000005,6.9110000000000005
Aksaite,3.0,2.0,0.0,4.0,0.0,338.2378,0.07855634,3.574
Alamosite,2.0,2.0,6.49,4.0,1.959,865.8504999999999,0.1120512,6.414
Alarsite,0.0,0.0,0.0,0.0,0.0,133.901929,0.02241509,4.958
Albite,1.0,2.0,2.625,4.0,1.535,411.33112399999993,0.08970606,3.806
Albrechtschraufite,0.0,0.0,0.0,0.0,0.0,3628.925846,0.5605646099999999,5.372999999999999
Alforsite,5.0,3.0,4.765,3.0,1.7,389.078662,0.044713199999999995,7.222
Allactite,2.0,0.0,3.885,4.0,1.7730000000000001,426.70339,0.0448985,7.888
Allanpringite,2.0,2.0,2.562,4.0,1.695,597.542341,0.08981524,5.522
Alleghanyite,2.0,2.0,4.055,4.0,1.776,431.208653,0.05608931,6.381
Alluaivite,5.0,3.0,0.0,3.0,1.625,1415.739624,0.235479,4.99
Alluaudite,2.0,2.0,3.45,4.0,1.806,447.574378,0.06731054,5.519
Almarudite,0.0,0.0,0.0,0.0,0.0,309.255537,0.033712910000000006,7.614
Alsakharovite-Zn,0.0,0.0,0.0,0.0,0.0,1302.289926,0.2019884,5.351
Althausite,3.0,0.0,0.0,0.0,0.0,282.864067,0.11205599999999999,2.095
Althupite,0.0,0.0,0.0,0.0,0.0,3154.3916870000003,0.35882979,7.296
Altisite,0.0,0.0,0.0,0.0,0.0,484.08941100000004,0.10066339,3.991
Alum-(K),6.0,3.0,1.757,2.0,1.453,198.173999,0.11208809,1.4669999999999999
Aluminite,2.0,1.0,1.74,4.0,1.464,344.162998,0.36975638,0.773
Alunite,5.0,2.0,2.75,3.0,1.5819999999999999,162.143439,0.04485609,3.0
Alunogen,1.0,3.0,1.745,4.0,1.476,648.413358,0.6722951799999999,0.8009999999999999
